county_name,age,pct_pcv
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the LE SUEUR, MN bucket, including data from rows not currently displayed.",32.8%
"LINCOLN, MN",Less than 1,-
,? 1 and < 2,84.6%
,? 2 and < 3,84.6%
,? 3 and < 4,-
,"Total: Total includes all data under the LINCOLN, MN bucket, including data from rows not currently displayed.",23.3%
"LOGAN, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,78.6%
,? 3 and < 4,-
,"Total: Total includes all data under the LOGAN, CO bucket, including data from rows not currently displayed.",32.3%
"MCLEOD, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the MCLEOD, MN bucket, including data from rows not currently displayed.",31.8%
"NORMAN, MN",Less than 1,67.3%
,? 1 and < 2,83.9%
,? 2 and < 3,93.7%
,? 3 and < 4,94.7%
,"Total: Total includes all data under the NORMAN, MN bucket, including data from rows not currently displayed.",23.5%
"PARK, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,100%
,"Total: Total includes all data under the PARK, CO bucket, including data from rows not currently displayed.",28.8%
"POLK, OR",Less than 1,57.1%
,? 1 and < 2,73.5%
,? 2 and < 3,89.3%
,? 3 and < 4,90.6%
,"Total: Total includes all data under the POLK, OR bucket, including data from rows not currently displayed.",35.2%
"POPE, MN",Less than 1,76.5%
,? 1 and < 2,100%
,? 2 and < 3,100%
,? 3 and < 4,88.2%
,"Total: Total includes all data under the POPE, MN bucket, including data from rows not currently displayed.",21.5%
"RIO BLANCO, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the RIO BLANCO, CO bucket, including data from rows not currently displayed.",23.9%
"RIO GRANDE, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the RIO GRANDE, CO bucket, including data from rows not currently displayed.",-
"SAN MIGUEL, CO",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,-
,? 3 and < 4,-
,"Total: Total includes all data under the SAN MIGUEL, CO bucket, including data from rows not currently displayed.",-
"WABASHA, MN",Less than 1,-
,? 1 and < 2,-
,? 2 and < 3,94.4%
,? 3 and < 4,100%
,"Total: Total includes all data under the WABASHA, MN bucket, including data from rows not currently displayed.",31.4%
"WILKIN, MN",Less than 1,72.5%
,? 1 and < 2,92.4%
,? 2 and < 3,87.9%
,? 3 and < 4,93.2%
,"Total: Total includes all data under the WILKIN, MN bucket, including data from rows not currently displayed.",22.1%
None of the above,Less than 1,71.3%
,? 1 and < 2,85.7%
,? 2 and < 3,89.4%
,? 3 and < 4,91.5%
,"Total: Total includes all data under the None of the above bucket, including data from rows not currently displayed.",26.7%
Total,Less than 1,71.9%
,? 1 and < 2,89.7%
,? 2 and < 3,91.7%
,? 3 and < 4,93.3%
,"Total: Total includes all data under the Total bucket, including data from rows not currently displayed.",28.1%
