indicator,year,fips,location,age,vaccine,percent,population,percentPartiallyVaccinated,percentNonMedicalExemption,percentMedicalExemption,percentDiseaseHistory  
"Childhood immunizations","2023","27055","Houston  ","Childhood (24-35 months)","PCV","83.9","186","null","null","null","null"
"Childhood immunizations","2015","27057","Hubbard","Childhood (24-35 months)","PCV","75.8","219","null","null","null","null"
"Childhood immunizations","2016","27057","Hubbard","Childhood (24-35 months)","PCV","63.6","236","null","null","null","null"
"Childhood immunizations","2017","27057","Hubbard","Childhood (24-35 months)","PCV","72.7","209","null","null","null","null"
"Childhood immunizations","2018","27057","Hubbard","Childhood (24-35 months)","PCV","77.9","203","null","null","null","null"
"Childhood immunizations","2019","27057","Hubbard","Childhood (24-35 months)","PCV","73.9","199","null","null","null","null"
"Childhood immunizations","2020","27057","Hubbard  ","Childhood (24-35 months)","PCV","82.9","187","null","null","null","null"
"Childhood immunizations","2021","27057","Hubbard  ","Childhood (24-35 months)","PCV","62.6","222","null","null","null","null"
"Childhood immunizations","2022","27057","Hubbard  ","Childhood (24-35 months)","PCV","72.6","215","null","null","null","null"
"Childhood immunizations","2023","27057","Hubbard  ","Childhood (24-35 months)","PCV","67.1","222","null","null","null","null"
"Childhood immunizations","2015","27059","Isanti","Childhood (24-35 months)","PCV","74.7","505","null","null","null","null"
"Childhood immunizations","2016","27059","Isanti","Childhood (24-35 months)","PCV","79.3","489","null","null","null","null"
"Childhood immunizations","2017","27059","Isanti","Childhood (24-35 months)","PCV","75.6","488","null","null","null","null"
"Childhood immunizations","2018","27059","Isanti","Childhood (24-35 months)","PCV","82.8","479","null","null","null","null"
"Childhood immunizations","2019","27059","Isanti","Childhood (24-35 months)","PCV","81.3","464","null","null","null","null"
"Childhood immunizations","2020","27059","Isanti  ","Childhood (24-35 months)","PCV","82.2","438","null","null","null","null"
"Childhood immunizations","2021","27059","Isanti  ","Childhood (24-35 months)","PCV","76.0","487","null","null","null","null"
"Childhood immunizations","2022","27059","Isanti  ","Childhood (24-35 months)","PCV","77.4","473","null","null","null","null"
"Childhood immunizations","2023","27059","Isanti  ","Childhood (24-35 months)","PCV","75.5","535","null","null","null","null"
"Childhood immunizations","2015","27061","Itasca","Childhood (24-35 months)","PCV","80.2","499","null","null","null","null"
"Childhood immunizations","2016","27061","Itasca","Childhood (24-35 months)","PCV","81.6","494","null","null","null","null"
"Childhood immunizations","2017","27061","Itasca","Childhood (24-35 months)","PCV","79.2","518","null","null","null","null"
"Childhood immunizations","2018","27061","Itasca","Childhood (24-35 months)","PCV","80.0","513","null","null","null","null"
"Childhood immunizations","2019","27061","Itasca","Childhood (24-35 months)","PCV","75.4","460","null","null","null","null"
"Childhood immunizations","2020","27061","Itasca  ","Childhood (24-35 months)","PCV","79.2","506","null","null","null","null"
"Childhood immunizations","2021","27061","Itasca  ","Childhood (24-35 months)","PCV","74.6","449","null","null","null","null"
"Childhood immunizations","2022","27061","Itasca  ","Childhood (24-35 months)","PCV","75.2","424","null","null","null","null"
"Childhood immunizations","2023","27061","Itasca  ","Childhood (24-35 months)","PCV","79.2","404","null","null","null","null"
"Childhood immunizations","2015","27063","Jackson","Childhood (24-35 months)","PCV","80.3","117","null","null","null","null"
"Childhood immunizations","2016","27063","Jackson","Childhood (24-35 months)","PCV","77.5","102","null","null","null","null"
"Childhood immunizations","2017","27063","Jackson","Childhood (24-35 months)","PCV","86.7","105","null","null","null","null"
"Childhood immunizations","2018","27063","Jackson","Childhood (24-35 months)","PCV","83.7","96","null","null","null","null"
"Childhood immunizations","2019","27063","Jackson","Childhood (24-35 months)","PCV","85.9","92","null","null","null","null"
"Childhood immunizations","2020","27063","Jackson  ","Childhood (24-35 months)","PCV","76.5","102","null","null","null","null"
"Childhood immunizations","2021","27063","Jackson  ","Childhood (24-35 months)","PCV","87.5","96","null","null","null","null"
"Childhood immunizations","2022","27063","Jackson  ","Childhood (24-35 months)","PCV","79.4","107","null","null","null","null"
"Childhood immunizations","2023","27063","Jackson  ","Childhood (24-35 months)","PCV","78.7","89","null","null","null","null"
"Childhood immunizations","2015","27065","Kanabec","Childhood (24-35 months)","PCV","84.8","198","null","null","null","null"
"Childhood immunizations","2016","27065","Kanabec","Childhood (24-35 months)","PCV","83.4","157","null","null","null","null"
"Childhood immunizations","2017","27065","Kanabec","Childhood (24-35 months)","PCV","82.5","189","null","null","null","null"
"Childhood immunizations","2018","27065","Kanabec","Childhood (24-35 months)","PCV","83.6","145","null","null","null","null"
"Childhood immunizations","2019","27065","Kanabec","Childhood (24-35 months)","PCV","82.4","187","null","null","null","null"
"Childhood immunizations","2020","27065","Kanabec  ","Childhood (24-35 months)","PCV","76.0","167","null","null","null","null"
"Childhood immunizations","2021","27065","Kanabec  ","Childhood (24-35 months)","PCV","79.6","152","null","null","null","null"
"Childhood immunizations","2022","27065","Kanabec  ","Childhood (24-35 months)","PCV","75.0","164","null","null","null","null"
"Childhood immunizations","2023","27065","Kanabec  ","Childhood (24-35 months)","PCV","73.1","156","null","null","null","null"
"Childhood immunizations","2015","27067","Kandiyohi","Childhood (24-35 months)","PCV","83.1","614","null","null","null","null"
"Childhood immunizations","2016","27067","Kandiyohi","Childhood (24-35 months)","PCV","81.0","596","null","null","null","null"
"Childhood immunizations","2017","27067","Kandiyohi","Childhood (24-35 months)","PCV","79.7","591","null","null","null","null"
"Childhood immunizations","2018","27067","Kandiyohi","Childhood (24-35 months)","PCV","80.6","606","null","null","null","null"
"Childhood immunizations","2019","27067","Kandiyohi","Childhood (24-35 months)","PCV","78.4","602","null","null","null","null"
"Childhood immunizations","2020","27067","Kandiyohi  ","Childhood (24-35 months)","PCV","76.2","596","null","null","null","null"
"Childhood immunizations","2021","27067","Kandiyohi  ","Childhood (24-35 months)","PCV","76.2","558","null","null","null","null"
"Childhood immunizations","2022","27067","Kandiyohi  ","Childhood (24-35 months)","PCV","77.9","580","null","null","null","null"
"Childhood immunizations","2023","27067","Kandiyohi  ","Childhood (24-35 months)","PCV","77.6","522","null","null","null","null"
"Childhood immunizations","2015","27069","Kittson","Childhood (24-35 months)","PCV","81.4","43","null","null","null","null"
"Childhood immunizations","2016","27069","Kittson","Childhood (24-35 months)","PCV","91.4","70","null","null","null","null"
"Childhood immunizations","2017","27069","Kittson","Childhood (24-35 months)","PCV","85.7","49","null","null","null","null"
"Childhood immunizations","2018","27069","Kittson","Childhood (24-35 months)","PCV","81.4","47","null","null","null","null"
"Childhood immunizations","2019","27069","Kittson","Childhood (24-35 months)","PCV","76.7","43","null","null","null","null"
"Childhood immunizations","2020","27069","Kittson  ","Childhood (24-35 months)","PCV","77.3","66","null","null","null","null"
"Childhood immunizations","2021","27069","Kittson  ","Childhood (24-35 months)","PCV","77.8","45","null","null","null","null"
"Childhood immunizations","2022","27069","Kittson  ","Childhood (24-35 months)","PCV","67.4","46","null","null","null","null"
"Childhood immunizations","2023","27069","Kittson  ","Childhood (24-35 months)","PCV","82.5","40","null","null","null","null"
"Childhood immunizations","2015","27071","Koochiching","Childhood (24-35 months)","PCV","78.4","111","null","null","null","null"
"Childhood immunizations","2016","27071","Koochiching","Childhood (24-35 months)","PCV","83.6","116","null","null","null","null"
"Childhood immunizations","2017","27071","Koochiching","Childhood (24-35 months)","PCV","82.4","119","null","null","null","null"
"Childhood immunizations","2018","27071","Koochiching","Childhood (24-35 months)","PCV","89.9","113","null","null","null","null"
"Childhood immunizations","2019","27071","Koochiching","Childhood (24-35 months)","PCV","81.6","103","null","null","null","null"
"Childhood immunizations","2020","27071","Koochiching  ","Childhood (24-35 months)","PCV","88.3","120","null","null","null","null"
"Childhood immunizations","2021","27071","Koochiching  ","Childhood (24-35 months)","PCV","86.9","99","null","null","null","null"
"Childhood immunizations","2022","27071","Koochiching  ","Childhood (24-35 months)","PCV","81.0","105","null","null","null","null"
"Childhood immunizations","2023","27071","Koochiching  ","Childhood (24-35 months)","PCV","81.0","79","null","null","null","null"
"Childhood immunizations","2015","27073","Lac Qui Parle","Childhood (24-35 months)","PCV","87.3","63","null","null","null","null"
"Childhood immunizations","2016","27073","Lac Qui Parle","Childhood (24-35 months)","PCV","83.9","62","null","null","null","null"
"Childhood immunizations","2017","27073","Lac Qui Parle","Childhood (24-35 months)","PCV","84.3","51","null","null","null","null"
"Childhood immunizations","2018","27073","Lac Qui Parle","Childhood (24-35 months)","PCV","89.8","49","null","null","null","null"
"Childhood immunizations","2019","27073","Lac Qui Parle","Childhood (24-35 months)","PCV","86.0","50","null","null","null","null"
"Childhood immunizations","2020","27073","Lac Qui Parle  ","Childhood (24-35 months)","PCV","88.3","60","null","null","null","null"
"Childhood immunizations","2021","27073","Lac Qui Parle  ","Childhood (24-35 months)","PCV","94.6","74","null","null","null","null"
"Childhood immunizations","2022","27073","Lac Qui Parle  ","Childhood (24-35 months)","PCV","85.2","81","null","null","null","null"
"Childhood immunizations","2023","27073","Lac Qui Parle  ","Childhood (24-35 months)","PCV","82.3","79","null","null","null","null"
"Childhood immunizations","2015","27075","Lake","Childhood (24-35 months)","PCV","80.0","115","null","null","null","null"
"Childhood immunizations","2016","27075","Lake","Childhood (24-35 months)","PCV","82.3","96","null","null","null","null"
"Childhood immunizations","2017","27075","Lake","Childhood (24-35 months)","PCV","79.4","107","null","null","null","null"
"Childhood immunizations","2018","27075","Lake","Childhood (24-35 months)","PCV","76.4","113","null","null","null","null"
"Childhood immunizations","2019","27075","Lake","Childhood (24-35 months)","PCV","84.0","119","null","null","null","null"
"Childhood immunizations","2020","27075","Lake  ","Childhood (24-35 months)","PCV","85.7","105","null","null","null","null"
"Childhood immunizations","2021","27075","Lake  ","Childhood (24-35 months)","PCV","77.9","95","null","null","null","null"
"Childhood immunizations","2022","27075","Lake  ","Childhood (24-35 months)","PCV","84.4","115","null","null","null","null"
"Childhood immunizations","2023","27075","Lake  ","Childhood (24-35 months)","PCV","78.6","84","null","null","null","null"
"Childhood immunizations","2015","27077","Lake Of The Woods","Childhood (24-35 months)","PCV","82.9","35","null","null","null","null"
"Childhood immunizations","2016","27077","Lake Of The Woods","Childhood (24-35 months)","PCV","91.7","36","null","null","null","null"
"Childhood immunizations","2017","27077","Lake Of The Woods","Childhood (24-35 months)","PCV","85.2","27","null","null","null","null"
"Childhood immunizations","2018","27077","Lake Of The Woods","Childhood (24-35 months)","PCV","86.5","38","null","null","null","null"
"Childhood immunizations","2019","27077","Lake Of The Woods","Childhood (24-35 months)","PCV","87.2","39","null","null","null","null"
"Childhood immunizations","2020","27077","Lake Of The Woods  ","Childhood (24-35 months)","PCV","81.3","32","null","null","null","null"
"Childhood immunizations","2021","27077","Lake Of The Woods  ","Childhood (24-35 months)","PCV","82.1","39","null","null","null","null"
"Childhood immunizations","2022","27077","Lake Of The Woods  ","Childhood (24-35 months)","PCV","78.6","42","null","null","null","null"
"Childhood immunizations","2023","27077","Lake Of The Woods  ","Childhood (24-35 months)","PCV","81.8","33","null","null","null","null"
"Childhood immunizations","2015","27079","Le Sueur","Childhood (24-35 months)","PCV","83.4","290","null","null","null","null"
"Childhood immunizations","2016","27079","Le Sueur","Childhood (24-35 months)","PCV","87.5","287","null","null","null","null"
"Childhood immunizations","2017","27079","Le Sueur","Childhood (24-35 months)","PCV","85.3","306","null","null","null","null"
"Childhood immunizations","2018","27079","Le Sueur","Childhood (24-35 months)","PCV","87.5","295","null","null","null","null"
"Childhood immunizations","2019","27079","Le Sueur","Childhood (24-35 months)","PCV","85.6","312","null","null","null","null"
"Childhood immunizations","2020","27079","Le Sueur  ","Childhood (24-35 months)","PCV","90.1","263","null","null","null","null"
"Childhood immunizations","2021","27079","Le Sueur  ","Childhood (24-35 months)","PCV","83.2","273","null","null","null","null"
"Childhood immunizations","2022","27079","Le Sueur  ","Childhood (24-35 months)","PCV","87.6","299","null","null","null","null"
"Childhood immunizations","2023","27079","Le Sueur  ","Childhood (24-35 months)","PCV","82.4","330","null","null","null","null"
"Childhood immunizations","2015","27081","Lincoln","Childhood (24-35 months)","PCV","89.6","67","null","null","null","null"
"Childhood immunizations","2016","27081","Lincoln","Childhood (24-35 months)","PCV","88.3","60","null","null","null","null"
"Childhood immunizations","2017","27081","Lincoln","Childhood (24-35 months)","PCV","90.1","71","null","null","null","null"
"Childhood immunizations","2018","27081","Lincoln","Childhood (24-35 months)","PCV","89.6","59","null","null","null","null"
"Childhood immunizations","2019","27081","Lincoln","Childhood (24-35 months)","PCV","92.3","39","null","null","null","null"
"Childhood immunizations","2020","27081","Lincoln  ","Childhood (24-35 months)","PCV","85.9","64","null","null","null","null"
"Childhood immunizations","2021","27081","Lincoln  ","Childhood (24-35 months)","PCV","84.6","52","null","null","null","null"
"Childhood immunizations","2022","27081","Lincoln  ","Childhood (24-35 months)","PCV","90.9","55","null","null","null","null"
"Childhood immunizations","2023","27081","Lincoln  ","Childhood (24-35 months)","PCV","85.4","48","null","null","null","null"
"Childhood immunizations","2015","27083","Lyon","Childhood (24-35 months)","PCV","84.8","407","null","null","null","null"
"Childhood immunizations","2016","27083","Lyon","Childhood (24-35 months)","PCV","83.8","395","null","null","null","null"
"Childhood immunizations","2017","27083","Lyon","Childhood (24-35 months)","PCV","86.0","401","null","null","null","null"
"Childhood immunizations","2018","27083","Lyon","Childhood (24-35 months)","PCV","87.5","408","null","null","null","null"
"Childhood immunizations","2019","27083","Lyon","Childhood (24-35 months)","PCV","83.3","388","null","null","null","null"
"Childhood immunizations","2020","27083","Lyon  ","Childhood (24-35 months)","PCV","87.2","376","null","null","null","null"
"Childhood immunizations","2021","27083","Lyon  ","Childhood (24-35 months)","PCV","81.1","359","null","null","null","null"
"Childhood immunizations","2022","27083","Lyon  ","Childhood (24-35 months)","PCV","81.1","350","null","null","null","null"
"Childhood immunizations","2023","27083","Lyon  ","Childhood (24-35 months)","PCV","78.1","329","null","null","null","null"
"Childhood immunizations","2015","27085","McLeod","Childhood (24-35 months)","PCV","74.5","487","null","null","null","null"
"Childhood immunizations","2016","27085","McLeod","Childhood (24-35 months)","PCV","75.1","437","null","null","null","null"
"Childhood immunizations","2017","27085","McLeod","Childhood (24-35 months)","PCV","80.8","433","null","null","null","null"
"Childhood immunizations","2018","27085","McLeod","Childhood (24-35 months)","PCV","86.3","435","null","null","null","null"
"Childhood immunizations","2019","27085","McLeod","Childhood (24-35 months)","PCV","85.5","448","null","null","null","null"
"Childhood immunizations","2020","27085","McLeod  ","Childhood (24-35 months)","PCV","87.8","378","null","null","null","null"
"Childhood immunizations","2021","27085","McLeod  ","Childhood (24-35 months)","PCV","85.1","397","null","null","null","null"
"Childhood immunizations","2022","27085","McLeod  ","Childhood (24-35 months)","PCV","85.4","403","null","null","null","null"
"Childhood immunizations","2023","27085","McLeod  ","Childhood (24-35 months)","PCV","83.9","372","null","null","null","null"
"Childhood immunizations","2015","27087","Mahnomen","Childhood (24-35 months)","PCV","76.3","76","null","null","null","null"
"Childhood immunizations","2016","27087","Mahnomen","Childhood (24-35 months)","PCV","75.6","90","null","null","null","null"
"Childhood immunizations","2017","27087","Mahnomen","Childhood (24-35 months)","PCV","90.1","91","null","null","null","null"
"Childhood immunizations","2018","27087","Mahnomen","Childhood (24-35 months)","PCV","86.3","93","null","null","null","null"
"Childhood immunizations","2019","27087","Mahnomen","Childhood (24-35 months)","PCV","88.7","97","null","null","null","null"
"Childhood immunizations","2020","27087","Mahnomen  ","Childhood (24-35 months)","PCV","93.2","74","null","null","null","null"
"Childhood immunizations","2021","27087","Mahnomen  ","Childhood (24-35 months)","PCV","86.8","91","null","null","null","null"
"Childhood immunizations","2022","27087","Mahnomen  ","Childhood (24-35 months)","PCV","82.9","82","null","null","null","null"
"Childhood immunizations","2023","27087","Mahnomen  ","Childhood (24-35 months)","PCV","75.3","77","null","null","null","null"
"Childhood immunizations","2015","27089","Marshall","Childhood (24-35 months)","PCV","94.3","106","null","null","null","null"
"Childhood immunizations","2016","27089","Marshall","Childhood (24-35 months)","PCV","92.8","125","null","null","null","null"
"Childhood immunizations","2017","27089","Marshall","Childhood (24-35 months)","PCV","89.8","118","null","null","null","null"
"Childhood immunizations","2018","27089","Marshall","Childhood (24-35 months)","PCV","91.4","122","null","null","null","null"
"Childhood immunizations","2019","27089","Marshall","Childhood (24-35 months)","PCV","89.0","118","null","null","null","null"
"Childhood immunizations","2020","27089","Marshall  ","Childhood (24-35 months)","PCV","89.7","97","null","null","null","null"
"Childhood immunizations","2021","27089","Marshall  ","Childhood (24-35 months)","PCV","89.9","109","null","null","null","null"
"Childhood immunizations","2022","27089","Marshall  ","Childhood (24-35 months)","PCV","84.7","111","null","null","null","null"
"Childhood immunizations","2023","27089","Marshall  ","Childhood (24-35 months)","PCV","81.1","111","null","null","null","null"
"Childhood immunizations","2015","27091","Martin","Childhood (24-35 months)","PCV","73.7","236","null","null","null","null"
"Childhood immunizations","2016","27091","Martin","Childhood (24-35 months)","PCV","75.6","242","null","null","null","null"
"Childhood immunizations","2017","27091","Martin","Childhood (24-35 months)","PCV","81.6","234","null","null","null","null"
"Childhood immunizations","2018","27091","Martin","Childhood (24-35 months)","PCV","81.4","255","null","null","null","null"
"Childhood immunizations","2019","27091","Martin","Childhood (24-35 months)","PCV","79.0","248","null","null","null","null"
"Childhood immunizations","2020","27091","Martin  ","Childhood (24-35 months)","PCV","80.3","234","null","null","null","null"
"Childhood immunizations","2021","27091","Martin  ","Childhood (24-35 months)","PCV","78.1","247","null","null","null","null"
"Childhood immunizations","2022","27091","Martin  ","Childhood (24-35 months)","PCV","80.2","222","null","null","null","null"
"Childhood immunizations","2023","27091","Martin  ","Childhood (24-35 months)","PCV","74.7","237","null","null","null","null"
"Childhood immunizations","2015","27093","Meeker","Childhood (24-35 months)","PCV","75.3","279","null","null","null","null"
"Childhood immunizations","2016","27093","Meeker","Childhood (24-35 months)","PCV","79.1","282","null","null","null","null"
"Childhood immunizations","2017","27093","Meeker","Childhood (24-35 months)","PCV","78.5","275","null","null","null","null"
"Childhood immunizations","2018","27093","Meeker","Childhood (24-35 months)","PCV","84.5","306","null","null","null","null"
"Childhood immunizations","2019","27093","Meeker","Childhood (24-35 months)","PCV","74.7","269","null","null","null","null"
"Childhood immunizations","2020","27093","Meeker  ","Childhood (24-35 months)","PCV","81.8","285","null","null","null","null"
"Childhood immunizations","2021","27093","Meeker  ","Childhood (24-35 months)","PCV","76.1","268","null","null","null","null"
"Childhood immunizations","2022","27093","Meeker  ","Childhood (24-35 months)","PCV","74.0","265","null","null","null","null"
"Childhood immunizations","2023","27093","Meeker  ","Childhood (24-35 months)","PCV","80.4","255","null","null","null","null"
"Childhood immunizations","2015","27095","Mille Lacs","Childhood (24-35 months)","PCV","73.7","354","null","null","null","null"
"Childhood immunizations","2016","27095","Mille Lacs","Childhood (24-35 months)","PCV","76.6","334","null","null","null","null"
"Childhood immunizations","2017","27095","Mille Lacs","Childhood (24-35 months)","PCV","81.3","439","null","null","null","null"
"Childhood immunizations","2018","27095","Mille Lacs","Childhood (24-35 months)","PCV","78.2","432","null","null","null","null"
"Childhood immunizations","2019","27095","Mille Lacs","Childhood (24-35 months)","PCV","79.3","455","null","null","null","null"
"Childhood immunizations","2020","27095","Mille Lacs  ","Childhood (24-35 months)","PCV","75.4","410","null","null","null","null"
"Childhood immunizations","2021","27095","Mille Lacs  ","Childhood (24-35 months)","PCV","72.3","394","null","null","null","null"
"Childhood immunizations","2022","27095","Mille Lacs  ","Childhood (24-35 months)","PCV","68.4","310","null","null","null","null"
"Childhood immunizations","2023","27095","Mille Lacs  ","Childhood (24-35 months)","PCV","69.2","282","null","null","null","null"
"Childhood immunizations","2015","27097","Morrison","Childhood (24-35 months)","PCV","79.1","382","null","null","null","null"
"Childhood immunizations","2016","27097","Morrison","Childhood (24-35 months)","PCV","82.4","404","null","null","null","null"
"Childhood immunizations","2017","27097","Morrison","Childhood (24-35 months)","PCV","82.2","426","null","null","null","null"
"Childhood immunizations","2018","27097","Morrison","Childhood (24-35 months)","PCV","81.7","458","null","null","null","null"
"Childhood immunizations","2019","27097","Morrison","Childhood (24-35 months)","PCV","84.3","419","null","null","null","null"
"Childhood immunizations","2020","27097","Morrison  ","Childhood (24-35 months)","PCV","85.0","401","null","null","null","null"
"Childhood immunizations","2021","27097","Morrison  ","Childhood (24-35 months)","PCV","77.6","411","null","null","null","null"
"Childhood immunizations","2022","27097","Morrison  ","Childhood (24-35 months)","PCV","82.1","357","null","null","null","null"
"Childhood immunizations","2023","27097","Morrison  ","Childhood (24-35 months)","PCV","80.6","345","null","null","null","null"
"Childhood immunizations","2015","27099","Mower","Childhood (24-35 months)","PCV","81.1","509","null","null","null","null"
"Childhood immunizations","2016","27099","Mower","Childhood (24-35 months)","PCV","83.0","529","null","null","null","null"
"Childhood immunizations","2017","27099","Mower","Childhood (24-35 months)","PCV","83.6","580","null","null","null","null"
"Childhood immunizations","2018","27099","Mower","Childhood (24-35 months)","PCV","79.4","581","null","null","null","null"
"Childhood immunizations","2019","27099","Mower","Childhood (24-35 months)","PCV","72.5","571","null","null","null","null"
"Childhood immunizations","2020","27099","Mower  ","Childhood (24-35 months)","PCV","79.3","547","null","null","null","null"
"Childhood immunizations","2021","27099","Mower  ","Childhood (24-35 months)","PCV","73.8","653","null","null","null","null"
"Childhood immunizations","2022","27099","Mower  ","Childhood (24-35 months)","PCV","74.2","503","null","null","null","null"
"Childhood immunizations","2023","27099","Mower  ","Childhood (24-35 months)","PCV","72.7","532","null","null","null","null"
"Childhood immunizations","2015","27101","Murray","Childhood (24-35 months)","PCV","88.9","90","null","null","null","null"
"Childhood immunizations","2016","27101","Murray","Childhood (24-35 months)","PCV","78.4","102","null","null","null","null"
"Childhood immunizations","2017","27101","Murray","Childhood (24-35 months)","PCV","89.3","75","null","null","null","null"
"Childhood immunizations","2018","27101","Murray","Childhood (24-35 months)","PCV","87.4","86","null","null","null","null"
"Childhood immunizations","2019","27101","Murray","Childhood (24-35 months)","PCV","81.1","74","null","null","null","null"
"Childhood immunizations","2020","27101","Murray  ","Childhood (24-35 months)","PCV","91.0","89","null","null","null","null"
"Childhood immunizations","2021","27101","Murray  ","Childhood (24-35 months)","PCV","86.5","74","null","null","null","null"
"Childhood immunizations","2022","27101","Murray  ","Childhood (24-35 months)","PCV","85.1","87","null","null","null","null"
"Childhood immunizations","2023","27101","Murray  ","Childhood (24-35 months)","PCV","88.6","88","null","null","null","null"
"Childhood immunizations","2015","27103","Nicollet","Childhood (24-35 months)","PCV","92.0","389","null","null","null","null"
"Childhood immunizations","2016","27103","Nicollet","Childhood (24-35 months)","PCV","87.7","408","null","null","null","null"
"Childhood immunizations","2017","27103","Nicollet","Childhood (24-35 months)","PCV","90.7","429","null","null","null","null"
"Childhood immunizations","2018","27103","Nicollet","Childhood (24-35 months)","PCV","91.3","399","null","null","null","null"
"Childhood immunizations","2019","27103","Nicollet","Childhood (24-35 months)","PCV","88.9","398","null","null","null","null"
"Childhood immunizations","2020","27103","Nicollet  ","Childhood (24-35 months)","PCV","90.3","390","null","null","null","null"
"Childhood immunizations","2021","27103","Nicollet  ","Childhood (24-35 months)","PCV","88.0","349","null","null","null","null"
"Childhood immunizations","2022","27103","Nicollet  ","Childhood (24-35 months)","PCV","83.8","388","null","null","null","null"
"Childhood immunizations","2023","27103","Nicollet  ","Childhood (24-35 months)","PCV","85.6","320","null","null","null","null"
"Childhood immunizations","2015","27105","Nobles","Childhood (24-35 months)","PCV","79.5","371","null","null","null","null"
"Childhood immunizations","2016","27105","Nobles","Childhood (24-35 months)","PCV","79.4","364","null","null","null","null"
"Childhood immunizations","2017","27105","Nobles","Childhood (24-35 months)","PCV","83.6","385","null","null","null","null"
"Childhood immunizations","2018","27105","Nobles","Childhood (24-35 months)","PCV","84.0","408","null","null","null","null"
"Childhood immunizations","2019","27105","Nobles","Childhood (24-35 months)","PCV","82.9","350","null","null","null","null"
"Childhood immunizations","2020","27105","Nobles  ","Childhood (24-35 months)","PCV","84.8","402","null","null","null","null"
"Childhood immunizations","2021","27105","Nobles  ","Childhood (24-35 months)","PCV","81.9","359","null","null","null","null"
"Childhood immunizations","2022","27105","Nobles  ","Childhood (24-35 months)","PCV","76.9","376","null","null","null","null"
"Childhood immunizations","2023","27105","Nobles  ","Childhood (24-35 months)","PCV","82.3","400","null","null","null","null"
"Childhood immunizations","2015","27107","Norman","Childhood (24-35 months)","PCV","80.7","88","null","null","null","null"
"Childhood immunizations","2016","27107","Norman","Childhood (24-35 months)","PCV","59.8","92","null","null","null","null"
"Childhood immunizations","2017","27107","Norman","Childhood (24-35 months)","PCV","92.6","68","null","null","null","null"
"Childhood immunizations","2018","27107","Norman","Childhood (24-35 months)","PCV","84.8","78","null","null","null","null"
"Childhood immunizations","2019","27107","Norman","Childhood (24-35 months)","PCV","87.8","74","null","null","null","null"
"Childhood immunizations","2020","27107","Norman  ","Childhood (24-35 months)","PCV","91.3","69","null","null","null","null"
"Childhood immunizations","2021","27107","Norman  ","Childhood (24-35 months)","PCV","87.3","71","null","null","null","null"
"Childhood immunizations","2022","27107","Norman  ","Childhood (24-35 months)","PCV","89.9","69","null","null","null","null"
"Childhood immunizations","2023","27107","Norman  ","Childhood (24-35 months)","PCV","86.6","67","null","null","null","null"
"Childhood immunizations","2015","27109","Olmsted","Childhood (24-35 months)","PCV","81.5","2341","null","null","null","null"
"Childhood immunizations","2016","27109","Olmsted","Childhood (24-35 months)","PCV","81.3","2487","null","null","null","null"
"Childhood immunizations","2017","27109","Olmsted","Childhood (24-35 months)","PCV","81.4","2382","null","null","null","null"
"Childhood immunizations","2018","27109","Olmsted","Childhood (24-35 months)","PCV","83.0","2336","null","null","null","null"
"Childhood immunizations","2019","27109","Olmsted","Childhood (24-35 months)","PCV","80.7","2253","null","null","null","null"
"Childhood immunizations","2020","27109","Olmsted  ","Childhood (24-35 months)","PCV","80.1","2216","null","null","null","null"
"Childhood immunizations","2021","27109","Olmsted  ","Childhood (24-35 months)","PCV","68.5","2460","null","null","null","null"
"Childhood immunizations","2022","27109","Olmsted  ","Childhood (24-35 months)","PCV","78.7","2173","null","null","null","null"
"Childhood immunizations","2023","27109","Olmsted  ","Childhood (24-35 months)","PCV","77.5","2124","null","null","null","null"
"Childhood immunizations","2015","27111","Otter Tail","Childhood (24-35 months)","PCV","75.1","639","null","null","null","null"
"Childhood immunizations","2016","27111","Otter Tail","Childhood (24-35 months)","PCV","76.8","721","null","null","null","null"
"Childhood immunizations","2017","27111","Otter Tail","Childhood (24-35 months)","PCV","82.5","657","null","null","null","null"
"Childhood immunizations","2018","27111","Otter Tail","Childhood (24-35 months)","PCV","82.5","703","null","null","null","null"
"Childhood immunizations","2019","27111","Otter Tail","Childhood (24-35 months)","PCV","81.2","675","null","null","null","null"
"Childhood immunizations","2020","27111","Otter Tail  ","Childhood (24-35 months)","PCV","81.6","618","null","null","null","null"
"Childhood immunizations","2021","27111","Otter Tail  ","Childhood (24-35 months)","PCV","80.5","584","null","null","null","null"
"Childhood immunizations","2022","27111","Otter Tail  ","Childhood (24-35 months)","PCV","77.1","647","null","null","null","null"
"Childhood immunizations","2023","27111","Otter Tail  ","Childhood (24-35 months)","PCV","78.2","609","null","null","null","null"
"Childhood immunizations","2015","27113","Pennington","Childhood (24-35 months)","PCV","83.3","186","null","null","null","null"
"Childhood immunizations","2016","27113","Pennington","Childhood (24-35 months)","PCV","84.3","172","null","null","null","null"
"Childhood immunizations","2017","27113","Pennington","Childhood (24-35 months)","PCV","84.5","194","null","null","null","null"
"Childhood immunizations","2018","27113","Pennington","Childhood (24-35 months)","PCV","83.2","189","null","null","null","null"
"Childhood immunizations","2019","27113","Pennington","Childhood (24-35 months)","PCV","86.9","160","null","null","null","null"
"Childhood immunizations","2020","27113","Pennington  ","Childhood (24-35 months)","PCV","85.9","177","null","null","null","null"
